time,uv_index_max (),uv_index_clear_sky_max (),sunshine_duration (s),daylight_duration (s),weather_code (wmo code),precipitation_probability_max (%),precipitation_hours (h),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h)
2017-03-09,NaN,NaN,NaN,42877.51,NaN,NaN,0,NaN,NaN,NaN
2017-03-10,NaN,NaN,NaN,42944.53,NaN,NaN,0,NaN,NaN,NaN
2017-03-11,NaN,NaN,NaN,43011.88,NaN,NaN,0,NaN,NaN,NaN
2017-03-12,NaN,NaN,NaN,43079.62,NaN,NaN,0,NaN,NaN,NaN
2017-03-13,NaN,NaN,NaN,43147.7,NaN,NaN,0,NaN,NaN,NaN
2017-03-14,NaN,NaN,NaN,43216.07,NaN,NaN,0,NaN,NaN,NaN
2017-03-15,NaN,NaN,NaN,43284.7,NaN,NaN,0,NaN,NaN,NaN
2017-03-16,NaN,NaN,NaN,43353.51,NaN,NaN,0,NaN,NaN,NaN
2017-03-17,NaN,NaN,NaN,43422.49,NaN,NaN,0,NaN,NaN,NaN
2017-03-18,NaN,NaN,NaN,43491.57,NaN,NaN,0,NaN,NaN,NaN
2017-03-19,NaN,NaN,NaN,43560.71,NaN,NaN,0,NaN,NaN,NaN
2017-03-20,NaN,NaN,NaN,43629.88,NaN,NaN,0,NaN,NaN,NaN
2017-03-21,NaN,NaN,NaN,43699.01,NaN,NaN,0,NaN,NaN,NaN
2017-03-22,NaN,NaN,NaN,43768.07,NaN,NaN,0,NaN,NaN,NaN
2017-03-23,NaN,NaN,NaN,43837.02,NaN,NaN,0,NaN,NaN,NaN
2017-03-24,NaN,NaN,NaN,43905.79,NaN,NaN,0,NaN,NaN,NaN
2017-03-25,NaN,NaN,NaN,43974.36,NaN,NaN,0,NaN,NaN,NaN
2017-03-26,NaN,NaN,NaN,44042.66,NaN,NaN,0,NaN,NaN,NaN
2017-03-27,NaN,NaN,NaN,44110.66,NaN,NaN,0,NaN,NaN,NaN
2017-03-28,NaN,NaN,NaN,44178.3,NaN,NaN,0,NaN,NaN,NaN
2017-03-29,NaN,NaN,NaN,44245.55,NaN,NaN,0,NaN,NaN,NaN
2017-03-30,NaN,NaN,NaN,44312.43,NaN,NaN,0,NaN,NaN,NaN
2017-03-31,NaN,NaN,NaN,44379.42,NaN,NaN,0,NaN,NaN,NaN
2017-04-01,NaN,NaN,NaN,44446.55,NaN,NaN,0,NaN,NaN,NaN
2017-04-02,NaN,NaN,NaN,44513.79,NaN,NaN,0,NaN,NaN,NaN
2017-04-03,NaN,NaN,NaN,44581.09,NaN,NaN,0,NaN,NaN,NaN
2017-04-04,NaN,NaN,NaN,44648.41,NaN,NaN,0,NaN,NaN,NaN
2017-04-05,NaN,NaN,NaN,44715.7,NaN,NaN,0,NaN,NaN,NaN
2017-04-06,NaN,NaN,NaN,44782.93,NaN,NaN,0,NaN,NaN,NaN
2017-04-07,NaN,NaN,NaN,44850.03,NaN,NaN,0,NaN,NaN,NaN
2017-04-08,NaN,NaN,NaN,44916.97,NaN,NaN,0,NaN,NaN,NaN
2017-04-09,NaN,NaN,NaN,44983.71,NaN,NaN,0,NaN,NaN,NaN
2017-04-10,NaN,NaN,NaN,45050.19,NaN,NaN,0,NaN,NaN,NaN
2017-04-11,NaN,NaN,NaN,45116.38,NaN,NaN,0,NaN,NaN,NaN
2017-04-12,NaN,NaN,NaN,45182.21,NaN,NaN,0,NaN,NaN,NaN
2017-04-13,NaN,NaN,NaN,45247.65,NaN,NaN,0,NaN,NaN,NaN
2017-04-14,NaN,NaN,NaN,45312.64,NaN,NaN,0,NaN,NaN,NaN
2017-04-15,NaN,NaN,NaN,45377.14,NaN,NaN,0,NaN,NaN,NaN
2017-04-16,NaN,NaN,NaN,45441.09,NaN,NaN,0,NaN,NaN,NaN
2017-04-17,NaN,NaN,NaN,45504.45,NaN,NaN,0,NaN,NaN,NaN
2017-04-18,NaN,NaN,NaN,45567.16,NaN,NaN,0,NaN,NaN,NaN
2017-04-19,NaN,NaN,NaN,45629.24,NaN,NaN,0,NaN,NaN,NaN
2017-04-20,NaN,NaN,NaN,45691.16,NaN,NaN,0,NaN,NaN,NaN
2017-04-21,NaN,NaN,NaN,45752.95,NaN,NaN,0,NaN,NaN,NaN
2017-04-22,NaN,NaN,NaN,45814.56,NaN,NaN,0,NaN,NaN,NaN
2017-04-23,NaN,NaN,NaN,45875.94,NaN,NaN,0,NaN,NaN,NaN
2017-04-24,NaN,NaN,NaN,45937.05,NaN,NaN,0,NaN,NaN,NaN
2017-04-25,NaN,NaN,NaN,45997.85,NaN,NaN,0,NaN,NaN,NaN
2017-04-26,NaN,NaN,NaN,46058.27,NaN,NaN,0,NaN,NaN,NaN
2017-04-27,NaN,NaN,NaN,46118.28,NaN,NaN,0,NaN,NaN,NaN
2017-04-28,NaN,NaN,NaN,46177.82,NaN,NaN,0,NaN,NaN,NaN
2017-04-29,NaN,NaN,NaN,46236.83,NaN,NaN,0,NaN,NaN,NaN
2017-04-30,NaN,NaN,NaN,46295.28,NaN,NaN,0,NaN,NaN,NaN
2017-05-01,NaN,NaN,NaN,46353.11,NaN,NaN,0,NaN,NaN,NaN
2017-05-02,NaN,NaN,NaN,46410.24,NaN,NaN,0,NaN,NaN,NaN
2017-05-03,NaN,NaN,NaN,46466.65,NaN,NaN,0,NaN,NaN,NaN
2017-05-04,NaN,NaN,NaN,46522.27,NaN,NaN,0,NaN,NaN,NaN
2017-05-05,NaN,NaN,NaN,46577.04,NaN,NaN,0,NaN,NaN,NaN
2017-05-06,NaN,NaN,NaN,46630.92,NaN,NaN,0,NaN,NaN,NaN
2017-05-07,NaN,NaN,NaN,46683.82,NaN,NaN,0,NaN,NaN,NaN
2017-05-08,NaN,NaN,NaN,46735.71,NaN,NaN,0,NaN,NaN,NaN
2017-05-09,NaN,NaN,NaN,46786.59,NaN,NaN,0,NaN,NaN,NaN
2017-05-10,NaN,NaN,NaN,46836.88,NaN,NaN,0,NaN,NaN,NaN
2017-05-11,NaN,NaN,NaN,46886.59,NaN,NaN,0,NaN,NaN,NaN
2017-05-12,NaN,NaN,NaN,46935.7,NaN,NaN,0,NaN,NaN,NaN
2017-05-13,NaN,NaN,NaN,46984.14,NaN,NaN,0,NaN,NaN,NaN
2017-05-14,NaN,NaN,NaN,47031.88,NaN,NaN,0,NaN,NaN,NaN
2017-05-15,NaN,NaN,NaN,47078.86,NaN,NaN,0,NaN,NaN,NaN
2017-05-16,NaN,NaN,NaN,47125.05,NaN,NaN,0,NaN,NaN,NaN
2017-05-17,NaN,NaN,NaN,47170.39,NaN,NaN,0,NaN,NaN,NaN
2017-05-18,NaN,NaN,NaN,47214.84,NaN,NaN,0,NaN,NaN,NaN
2017-05-19,NaN,NaN,NaN,47258.34,NaN,NaN,0,NaN,NaN,NaN
2017-05-20,NaN,NaN,NaN,47300.85,NaN,NaN,0,NaN,NaN,NaN
2017-05-21,NaN,NaN,NaN,47342.32,NaN,NaN,0,NaN,NaN,NaN
2017-05-22,NaN,NaN,NaN,47382.68,NaN,NaN,0,NaN,NaN,NaN
2017-05-23,NaN,NaN,NaN,47421.91,NaN,NaN,0,NaN,NaN,NaN
2017-05-24,NaN,NaN,NaN,47459.93,NaN,NaN,0,NaN,NaN,NaN
2017-05-25,NaN,NaN,NaN,47496.7,NaN,NaN,0,NaN,NaN,NaN
2017-05-26,NaN,NaN,NaN,47532.18,NaN,NaN,0,NaN,NaN,NaN
2017-05-27,NaN,NaN,NaN,47566.29,NaN,NaN,0,NaN,NaN,NaN
2017-05-28,NaN,NaN,NaN,47599,NaN,NaN,0,NaN,NaN,NaN
2017-05-29,NaN,NaN,NaN,47630.3,NaN,NaN,0,NaN,NaN,NaN
2017-05-30,NaN,NaN,NaN,47660.46,NaN,NaN,0,NaN,NaN,NaN
2017-05-31,NaN,NaN,NaN,47689.51,NaN,NaN,0,NaN,NaN,NaN
2017-06-01,NaN,NaN,NaN,47717.41,NaN,NaN,0,NaN,NaN,NaN
2017-06-02,NaN,NaN,NaN,47744.14,NaN,NaN,0,NaN,NaN,NaN
2017-06-03,NaN,NaN,NaN,47769.68,NaN,NaN,0,NaN,NaN,NaN
2017-06-04,NaN,NaN,NaN,47794,NaN,NaN,0,NaN,NaN,NaN
2017-06-05,NaN,NaN,NaN,47817.07,NaN,NaN,0,NaN,NaN,NaN
2017-06-06,NaN,NaN,NaN,47838.86,NaN,NaN,0,NaN,NaN,NaN
2017-06-07,NaN,NaN,NaN,47859.35,NaN,NaN,0,NaN,NaN,NaN
2017-06-08,NaN,NaN,NaN,47878.52,NaN,NaN,0,NaN,NaN,NaN
2017-06-09,NaN,NaN,NaN,47896.34,NaN,NaN,0,NaN,NaN,NaN
2017-06-10,NaN,NaN,NaN,47912.78,NaN,NaN,0,NaN,NaN,NaN
2017-06-11,NaN,NaN,NaN,47927.82,NaN,NaN,0,NaN,NaN,NaN
2017-06-12,NaN,NaN,NaN,47941.44,NaN,NaN,0,NaN,NaN,NaN
2017-06-13,NaN,NaN,NaN,47953.61,NaN,NaN,0,NaN,NaN,NaN
2017-06-14,NaN,NaN,NaN,47964.31,NaN,NaN,0,NaN,NaN,NaN
2017-06-15,NaN,NaN,NaN,47973.51,NaN,NaN,0,NaN,NaN,NaN
2017-06-16,NaN,NaN,NaN,47981.19,NaN,NaN,0,NaN,NaN,NaN
2017-06-17,NaN,NaN,NaN,47987.33,NaN,NaN,0,NaN,NaN,NaN
2017-06-18,NaN,NaN,NaN,47991.92,NaN,NaN,0,NaN,NaN,NaN
2017-06-19,NaN,NaN,NaN,47994.98,NaN,NaN,0,NaN,NaN,NaN
2017-06-20,NaN,NaN,NaN,47996.52,NaN,NaN,0,NaN,NaN,NaN
2017-06-21,NaN,NaN,NaN,47996.58,NaN,NaN,0,NaN,NaN,NaN
2017-06-22,NaN,NaN,NaN,47995.14,NaN,NaN,0,NaN,NaN,NaN
2017-06-23,NaN,NaN,NaN,47992.24,NaN,NaN,0,NaN,NaN,NaN
2017-06-24,NaN,NaN,NaN,47987.88,NaN,NaN,0,NaN,NaN,NaN
2017-06-25,NaN,NaN,NaN,47982.06,NaN,NaN,0,NaN,NaN,NaN
2017-06-26,NaN,NaN,NaN,47974.83,NaN,NaN,0,NaN,NaN,NaN
2017-06-27,NaN,NaN,NaN,47966.17,NaN,NaN,0,NaN,NaN,NaN
2017-06-28,NaN,NaN,NaN,47956.12,NaN,NaN,0,NaN,NaN,NaN
2017-06-29,NaN,NaN,NaN,47944.68,NaN,NaN,0,NaN,NaN,NaN
2017-06-30,NaN,NaN,NaN,47931.87,NaN,NaN,0,NaN,NaN,NaN
2017-07-01,NaN,NaN,NaN,47917.71,NaN,NaN,0,NaN,NaN,NaN
2017-07-02,NaN,NaN,NaN,47902.22,NaN,NaN,0,NaN,NaN,NaN
2017-07-03,NaN,NaN,NaN,47885.41,NaN,NaN,0,NaN,NaN,NaN
2017-07-04,NaN,NaN,NaN,47867.29,NaN,NaN,0,NaN,NaN,NaN
2017-07-05,NaN,NaN,NaN,47847.9,NaN,NaN,0,NaN,NaN,NaN
2017-07-06,NaN,NaN,NaN,47827.25,NaN,NaN,0,NaN,NaN,NaN
2017-07-07,NaN,NaN,NaN,47805.34,NaN,NaN,0,NaN,NaN,NaN
2017-07-08,NaN,NaN,NaN,47782.18,NaN,NaN,0,NaN,NaN,NaN
2017-07-09,NaN,NaN,NaN,47757.52,NaN,NaN,0,NaN,NaN,NaN
2017-07-10,NaN,NaN,NaN,47731.38,NaN,NaN,0,NaN,NaN,NaN
2017-07-11,NaN,NaN,NaN,47703.79,NaN,NaN,0,NaN,NaN,NaN
2017-07-12,NaN,NaN,NaN,47674.82,NaN,NaN,0,NaN,NaN,NaN
2017-07-13,NaN,NaN,NaN,47644.5,NaN,NaN,0,NaN,NaN,NaN
2017-07-14,NaN,NaN,NaN,47612.89,NaN,NaN,0,NaN,NaN,NaN
2017-07-15,NaN,NaN,NaN,47580.03,NaN,NaN,0,NaN,NaN,NaN
2017-07-16,NaN,NaN,NaN,47545.96,NaN,NaN,0,NaN,NaN,NaN
2017-07-17,NaN,NaN,NaN,47510.74,NaN,NaN,0,NaN,NaN,NaN
2017-07-18,NaN,NaN,NaN,47474.41,NaN,NaN,0,NaN,NaN,NaN
2017-07-19,NaN,NaN,NaN,47437.02,NaN,NaN,0,NaN,NaN,NaN
2017-07-20,NaN,NaN,NaN,47398.6,NaN,NaN,0,NaN,NaN,NaN
2017-07-21,NaN,NaN,NaN,47359.22,NaN,NaN,0,NaN,NaN,NaN
2017-07-22,NaN,NaN,NaN,47318.91,NaN,NaN,0,NaN,NaN,NaN
2017-07-23,NaN,NaN,NaN,47277.71,NaN,NaN,0,NaN,NaN,NaN
2017-07-24,NaN,NaN,NaN,47235.68,NaN,NaN,0,NaN,NaN,NaN
2017-07-25,NaN,NaN,NaN,47192.85,NaN,NaN,0,NaN,NaN,NaN
2017-07-26,NaN,NaN,NaN,47149.27,NaN,NaN,0,NaN,NaN,NaN
2017-07-27,NaN,NaN,NaN,47104.98,NaN,NaN,0,NaN,NaN,NaN
2017-07-28,NaN,NaN,NaN,47059.96,NaN,NaN,0,NaN,NaN,NaN
2017-07-29,NaN,NaN,NaN,47013.82,NaN,NaN,0,NaN,NaN,NaN
2017-07-30,NaN,NaN,NaN,46966.55,NaN,NaN,0,NaN,NaN,NaN
2017-07-31,NaN,NaN,NaN,46918.22,NaN,NaN,0,NaN,NaN,NaN
2017-08-01,NaN,NaN,NaN,46868.88,NaN,NaN,0,NaN,NaN,NaN
2017-08-02,NaN,NaN,NaN,46818.58,NaN,NaN,0,NaN,NaN,NaN
2017-08-03,NaN,NaN,NaN,46767.38,NaN,NaN,0,NaN,NaN,NaN
2017-08-04,NaN,NaN,NaN,46715.34,NaN,NaN,0,NaN,NaN,NaN
2017-08-05,NaN,NaN,NaN,46662.51,NaN,NaN,0,NaN,NaN,NaN
2017-08-06,NaN,NaN,NaN,46608.95,NaN,NaN,0,NaN,NaN,NaN
2017-08-07,NaN,NaN,NaN,46554.7,NaN,NaN,0,NaN,NaN,NaN
2017-08-08,NaN,NaN,NaN,46499.82,NaN,NaN,0,NaN,NaN,NaN
2017-08-09,NaN,NaN,NaN,46444.36,NaN,NaN,0,NaN,NaN,NaN
2017-08-10,NaN,NaN,NaN,46388.37,NaN,NaN,0,NaN,NaN,NaN
2017-08-11,NaN,NaN,NaN,46331.9,NaN,NaN,0,NaN,NaN,NaN
2017-08-12,NaN,NaN,NaN,46275,NaN,NaN,0,NaN,NaN,NaN
2017-08-13,NaN,NaN,NaN,46217.72,NaN,NaN,0,NaN,NaN,NaN
2017-08-14,NaN,NaN,NaN,46160.1,NaN,NaN,0,NaN,NaN,NaN
2017-08-15,NaN,NaN,NaN,46102.19,NaN,NaN,0,NaN,NaN,NaN
2017-08-16,NaN,NaN,NaN,46044.04,NaN,NaN,0,NaN,NaN,NaN
2017-08-17,NaN,NaN,NaN,45985.61,NaN,NaN,0,NaN,NaN,NaN
2017-08-18,NaN,NaN,NaN,45926.48,NaN,NaN,0,NaN,NaN,NaN
2017-08-19,NaN,NaN,NaN,45866.62,NaN,NaN,0,NaN,NaN,NaN
2017-08-20,NaN,NaN,NaN,45806.07,NaN,NaN,0,NaN,NaN,NaN
2017-08-21,NaN,NaN,NaN,45744.9,NaN,NaN,0,NaN,NaN,NaN
